격자_ID,지하철역_개수
83.0,2
95.0,2
134.0,1
149.0,1
201.0,1
204.0,1
206.0,1
224.0,1
236.0,1
238.0,1
262.0,1
292.0,2
294.0,1
296.0,1
301.0,2
302.0,2
379.0,1
382.0,1
397.0,1
475.0,1
523.0,1
550.0,1
566.0,1
633.0,1
696.0,1
705.0,1
723.0,1
738.0,1
746.0,1
827.0,1
858.0,1
869.0,2
898.0,1
960.0,1
979.0,2
1003.0,2
1012.0,1
1026.0,1
1028.0,1
1041.0,2
1052.0,1
1056.0,1
1104.0,1
1134.0,1
1169.0,1
1256.0,1
1260.0,1
1300.0,1
1312.0,2
1356.0,1
1401.0,1
1468.0,1
1490.0,2
1545.0,1
1562.0,3
1627.0,1
1647.0,1
1820.0,1
1832.0,1
1851.0,1
1872.0,1
1979.0,1
2002.0,1
2008.0,1
2013.0,1
2035.0,1
2036.0,1
2046.0,1
2094.0,1
2106.0,1
2118.0,1
2129.0,1
2295.0,2
2314.0,1
2323.0,1
2369.0,1
2412.0,1
2460.0,1
2469.0,2
2479.0,1
2574.0,1
2584.0,1
2647.0,1
2648.0,1
2655.0,1
2664.0,1
2816.0,1
2867.0,1
2872.0,4
2873.0,1
2949.0,1
2955.0,1
3015.0,1
3057.0,1
3064.0,1
3136.0,1
3170.0,1
3190.0,1
3212.0,1
3223.0,1
3254.0,1
3327.0,1
3345.0,1
3385.0,1
3408.0,1
3436.0,1
3446.0,1
3509.0,1
3564.0,1
3567.0,1
3572.0,1
3605.0,1
3668.0,2
3723.0,1
3740.0,1
3741.0,1
3744.0,1
3748.0,1
3752.0,1
3758.0,1
3802.0,3
3808.0,1
3812.0,1
3825.0,2
3829.0,1
3870.0,1
3874.0,3
3916.0,1
3958.0,1
3984.0,1
3989.0,2
4006.0,1
4015.0,1
4025.0,1
4043.0,1
4065.0,1
4092.0,1
4165.0,1
4219.0,1
4225.0,1
4246.0,2
4257.0,1
4285.0,1
4356.0,1
4392.0,1
4457.0,1
4471.0,1
4517.0,1
4518.0,2
4531.0,1
4582.0,1
4594.0,1
4605.0,1
4618.0,1
4637.0,1
4658.0,1
4755.0,2
4761.0,1
4762.0,1
4766.0,1
4793.0,1
4805.0,1
4879.0,2
4900.0,1
4909.0,1
4951.0,1
4992.0,1
5031.0,2
5073.0,1
5086.0,1
5109.0,1
5111.0,1
5229.0,1
5281.0,1
5283.0,1
5332.0,1
5384.0,1
5418.0,1
5435.0,1
5453.0,1
5504.0,1
5583.0,1
5611.0,1
5650.0,1
5678.0,1
5685.0,1
5717.0,1
5783.0,1
5870.0,2
5967.0,1
5997.0,2
6057.0,1
6068.0,1
6124.0,1
6125.0,1
6191.0,4
6224.0,1
6227.0,1
6298.0,1
6466.0,1
6512.0,1
6527.0,1
6532.0,1
6557.0,1
6560.0,1
6577.0,1
6581.0,1
6622.0,1
6670.0,1
6763.0,1
6765.0,1
6809.0,1
6814.0,1
6869.0,1
6923.0,1
6966.0,1
6979.0,1
6990.0,2
7049.0,1
7062.0,1
7107.0,1
7113.0,1
7119.0,1
7163.0,1
7176.0,2
7178.0,1
7228.0,1
7241.0,1
7273.0,1
7275.0,1
7283.0,1
7304.0,1
7370.0,1
7374.0,1
7466.0,2
7471.0,1
7503.0,1
7508.0,1
7534.0,1
7539.0,1
7568.0,1
7605.0,1
7630.0,1
7653.0,1
7656.0,1
7662.0,1
7685.0,2
7733.0,1
7735.0,1
7739.0,1
7747.0,2
7782.0,1
7786.0,1
7798.0,1
7877.0,1
7913.0,1
7917.0,1
7921.0,2
7961.0,1
8031.0,2
8043.0,1
8116.0,1
8172.0,1
8183.0,1
8191.0,3
8205.0,1
8253.0,1
8284.0,1
8328.0,1
8339.0,2
8349.0,1
8411.0,1
8455.0,1
8491.0,1
8502.0,2
8517.0,1
8528.0,1
8540.0,1
8552.0,1
8555.0,1
8564.0,1
8565.0,1
8569.0,1
8661.0,2
8672.0,1
8809.0,1
8822.0,2
8824.0,2
8839.0,1
8846.0,1
8855.0,2
8863.0,1
8867.0,1
8874.0,1
8884.0,2
8960.0,1
8972.0,1
8982.0,1
8989.0,1
9003.0,1
9008.0,2
9010.0,1
9016.0,1
9021.0,1
9026.0,1
9029.0,1
9042.0,1
9047.0,1
9102.0,1
9111.0,1
9114.0,2
9120.0,2
9128.0,1
9134.0,1
9140.0,1
9199.0,1
9282.0,2
9285.0,1
9298.0,1
9317.0,1
9328.0,1
9331.0,1
9339.0,1
9432.0,1
9434.0,1
9467.0,1
9468.0,1
9489.0,1
9494.0,1
9600.0,1
9682.0,2
9740.0,1
9804.0,2
9811.0,1
9816.0,1
9874.0,2
9875.0,1
9876.0,1
9904.0,1
9927.0,1
9952.0,1
10009.0,1
10028.0,1
10038.0,1
10064.0,1
10071.0,1
10082.0,1
10084.0,1
